arm,seed,case_id,K,alpha,regime,complete,failure_time,mass_drift,momentum_drift,energy_drift,late_field_log10_rmse,late_electric_mode1_phase_mae,late_perturbation_relative_l2
B,2,K0p303_a0p035,0.303,0.035,transition,True,,4.76837158203125e-07,7.216294761747122e-08,3.7894164440779237e-06,0.6259555824302816,0.19306031198341775,0.4674524859908963
B,2,K0p361_a0p035,0.361,0.035,transition,True,,1.1920928955078125e-06,2.2184394765645266e-08,6.169884934019013e-06,0.7913387114382324,0.4071532492668496,0.5014173143860884
B,2,K0p407_a0p105,0.407,0.105,strong_nonlinear,True,,9.5367431640625e-07,4.3151521822437644e-07,4.614799245849507e-06,1.2630337951588209,0.8412560421753736,0.9114258276737395
B,2,K0p454_a0p125,0.454,0.125,strong_nonlinear,True,,1.5497207641601562e-06,3.0640512704849243e-07,0.00015000176878042818,0.8387357189342198,1.3271972263241074,2.3407704725845964
B,2,K0p500_a0p165,0.5,0.165,strong_nonlinear,True,,2.980232238769531e-07,2.5085173547267914e-06,0.000447239730444228,1.1786707724033716,1.2101214630157866,2.7317496627821414
B,2,K0p445_a0p030,0.445,0.03,weak,True,,7.748603820800781e-07,2.6557972887530923e-07,4.757560655924887e-06,2.590762770859446,1.6198733719395124,8.75203018576134
B,2,K0p420_a0p122,0.42,0.122,strong_nonlinear,True,,1.0132789611816406e-06,1.3649696484208107e-07,1.1209597978063046e-05,1.0922068610376083,1.707405621847209,1.1324122607304397
B,2,K0p372_a0p085,0.372,0.085,strong_nonlinear,True,,1.1920928955078125e-06,4.94252162752673e-07,6.62206108282084e-06,0.864602004128729,0.30526822021272504,0.634226718879132
B,2,K0p368_a0p186,0.368,0.186,transition,True,,5.364418029785156e-07,1.3190147001296282e-06,1.8075913126950096e-05,1.2418729594182294,1.29784467248463,0.9141419591874084
B,2,K0p472_a0p032,0.472,0.032,weak,True,,1.1324882507324219e-06,7.753260433673859e-08,3.687014785880779e-06,4.3997261639605245,1.7649768585639032,38.157070979109534
B,2,K0p460_a0p177,0.46,0.177,strong_nonlinear,True,,8.940696716308594e-07,1.0926742106676102e-06,1.6537902263661446e-05,1.0153411380064041,1.3279008810262225,1.1773765544251835
B,2,K0p280_a0p137,0.28,0.137,strong_nonlinear,True,,3.5762786865234375e-07,1.344713382422924e-06,3.662408548913276e-05,0.8384099787345753,0.3803719279984071,0.781385448708216
B,2,K0p342_a0p167,0.342,0.167,transition,True,,1.2516975402832031e-06,4.6123750507831573e-07,2.2580331125644418e-05,0.9812651196499262,1.1286908468979155,1.0179771914306883
B,2,K0p474_a0p051,0.474,0.051,weak,True,,2.086162567138672e-06,5.253823474049568e-07,6.874347825880829e-06,3.360141775127002,1.2401546871737397,10.600801394362119
B,2,K0p295_a0p178,0.295,0.178,strong_nonlinear,True,,1.1324882507324219e-06,7.323687896132469e-07,9.964028646380658e-05,0.6725059702703878,0.3331735397408383,0.8358560713138954
B,2,K0p299_a0p105,0.299,0.105,strong_nonlinear,True,,6.556510925292969e-07,1.5350524336099625e-06,1.324971490655807e-05,0.8858709587786534,0.49392377764781287,0.6512488786569371
